region;lat;long
Blekinge;56.3078627504405;15.4422098614063
Dalarna;60.6888612404605;15.4842473896302
Gotland;57.8667;19.05
Halland;57.136447984056;12.886798431754
Kalmar;57.3126731946981;16.4171561396171
Kronoberg;57.081619232809;14.8972382436282
Norrbotten;66.3236592801919;22.2894584354962
Stockholm;59.3911948668084;18.1451818789321
Uppsala;60.0653087046291;18.1737973965457
Gvleborg;61.3058255191605;17.0114604875594
Jmtland;63.5843804487559;15.5202179728464
Jnkping;57.7736124224533;14.5408872186462
Skne;55.8849945644913;13.3683672153728
Sdermanland;59.2205190859764;16.8905078551923
Vrmland;59.7042142996767;13.4143855862971
Vsterbotten;64.7293520185384;20.4320805604194
Vsternorrland;62.9743789632595;17.9206319938709
Vstmanland;59.6850816767248;16.3887373979231
Vstra Gtaland;58.1003141784801;12.5531761672918
rebro;59.4054234281949;15.4216913980398
stergtland;58.6016404724431;16.0389101184471
