region;regionText;lat;long
SE-K;Blekinge;56.3078627504405;15.4422098614063
SE-W;Dalarna;60.6888612404605;15.4842473896302
SE-I;Gotland;57.8667;19.05
SE-N;Halland;57.136447984056;12.886798431754
SE-H;Kalmar;57.3126731946981;16.4171561396171
SE-G;Kronoberg;57.081619232809;14.8972382436282
SE-BD;Norrbotten;66.3236592801919;22.2894584354962
SE-AB;Stockholm;59.3911948668084;18.1451818789321
SE-C;Uppsala;60.0653087046291;18.1737973965457
SE-X;Gvleborg;61.3058255191605;17.0114604875594
SE-Z;Jmtland;63.5843804487559;15.5202179728464
SE-F;Jnkping;57.7736124224533;14.5408872186462
SE-M;Skne;55.8849945644913;13.3683672153728
SE-D;Sdermanland;59.2205190859764;16.8905078551923
SE-S;Vrmland;59.7042142996767;13.4143855862971
SE-AC;Vsterbotten;64.7293520185384;20.4320805604194
SE-Y;Vsternorrland;62.9743789632595;17.9206319938709
SE-U;Vstmanland;59.6850816767248;16.3887373979231
SE-O;Vstra Gtaland;58.1003141784801;12.5531761672918
SE-T;rebro;59.4054234281949;15.4216913980398
SE-E;stergtland;58.6016404724431;16.0389101184471
